"              [,1]",Price,Open,High,Low,Change ,change_percent,
08/03/2019,7.502,7.54,7.59,7.493,-0.004,-0.4,
15/03/2019,7.504,7.477,7.545,7.452,0.0003,0.03,
22/03/2019,7.346,7.471,7.474,7.301,-0.0211,-2.11,
29/03/2019,7.353,7.356,7.362,7.229,0.001,0.1,
05/04/2019,7.409,7.374,7.418,7.356,0.0076,0.76,
12/04/2019,7.42,7.411,7.43,7.376,0.0015,0.15,
18/04/2019,7.408,7.455,7.497,7.405,-0.0016,-0.16,
26/04/2019,7.397,7.395,7.421,7.369,-0.0015,-0.15,
03/05/2019,7.413,7.403,7.426,7.365,0.0022,0.22,
10/05/2019,7.362,7.418,7.419,7.348,-0.0069,-0.69,
17/05/2019,7.226,7.287,7.312,7.191,-0.0185,-1.85,
24/05/2019,7.032,7.226,7.228,7.03,-0.0268,-2.68,
31/05/2019,6.974,6.949,7.024,6.876,-0.0082,-0.82,
07/06/2019,6.919,6.984,7.097,6.914,-0.0079,-0.79,
14/06/2019,6.861,6.933,6.947,6.734,-0.0084,-0.84,
21/06/2019,6.879,6.84,6.957,6.811,0.0026,0.26,
28/06/2019,6.695,6.906,6.93,6.576,-0.0267,-2.67,
05/07/2019,6.488,6.713,6.713,6.457,-0.0309,-3.09,
12/07/2019,6.361,6.459,6.467,6.266,-0.0196,-1.96,
19/07/2019,6.525,6.424,6.556,6.406,0.0258,2.58,
26/07/2019,6.352,6.452,6.46,6.324,-0.0265,-2.65,
02/08/2019,6.494,6.367,6.523,6.296,0.0224,2.24,
09/08/2019,6.535,6.503,6.639,6.496,0.0063,0.63,
16/08/2019,6.564,6.553,6.627,6.531,0.0044,0.44,
23/08/2019,6.556,6.501,6.624,6.391,-0.0012,-0.12,
30/08/2019,6.597,6.498,6.603,6.488,0.0063,0.63,
06/09/2019,6.631,6.606,6.705,6.563,0.0052,0.52,
13/09/2019,6.782,6.723,6.874,6.552,0.0228,2.28,
20/09/2019,6.729,6.767,6.801,6.697,-0.0078,-0.78,
27/09/2019,6.68,6.706,6.71,6.582,-0.0073,-0.73,
04/10/2019,6.727,6.693,6.731,6.636,0.007,0.7,
11/10/2019,6.692,6.737,6.739,6.636,-0.0052,-0.52,
18/10/2019,6.67,6.711,6.711,6.66,-0.0033,-0.33,
27/10/2019,6.445,6.697,6.7,6.415,-0.0337,-3.37,
01/11/2019,6.554,6.457,6.554,6.449,0.0169,1.69,
08/11/2019,6.519,6.544,6.574,6.505,-0.0053,-0.53,
