Date,Price,Open,High,Low,Change ,change_percent
17/09/2019,6.617,6.66,6.68,6.602,-0.0165,-1.65
18/09/2019,6.634,6.611,6.642,6.573,0.0026,0.26
19/09/2019,6.782,6.587,6.874,6.552,0.0223,2.23
20/09/2019,6.739,6.767,6.801,6.73,-0.0063,-0.63
23/09/2019,6.775,6.741,6.782,6.733,0.0053,0.53
24/09/2019,6.754,6.774,6.777,6.744,-0.0031,-0.31
25/09/2019,6.71,6.762,6.771,6.697,-0.0065,-0.65
26/09/2019,6.729,6.774,6.774,6.708,0.0028,0.28
27/09/2019,6.695,6.706,6.71,6.681,-0.0051,-0.51
30/09/2019,6.657,6.68,6.702,6.652,-0.0057,-0.57
01/10/2019,6.606,6.609,6.62,6.599,-0.0077,-0.77
03/10/2019,6.68,6.6,6.684,6.582,0.0112,1.12
04/10/2019,6.669,6.693,6.693,6.66,-0.0016,-0.16
07/10/2019,6.655,6.659,6.666,6.636,-0.0021,-0.21
09/10/2019,6.679,6.662,6.684,6.66,0.0036,0.36
10/10/2019,6.727,6.703,6.731,6.698,0.0072,0.72
11/10/2019,6.67,6.737,6.739,6.67,-0.0085,-0.85
14/10/2019,6.66,6.697,6.697,6.651,-0.0015,-0.15
15/10/2019,6.656,6.669,6.673,6.642,-0.0006,-0.06
16/10/2019,6.699,6.656,6.718,6.636,0.0065,0.65
17/10/2019,6.692,6.699,6.704,6.688,-0.001,-0.1
18/10/2019,6.7,6.711,6.711,6.689,0.0012,0.12
22/10/2019,6.678,6.695,6.695,6.671,-0.0033,-0.33
23/10/2019,6.678,6.698,6.708,6.674,0,0
24/10/2019,6.67,6.68,6.686,6.66,-0.0012,-0.12
25/10/2019,6.679,6.697,6.7,6.674,0.0013,0.13
27/10/2019,6.664,6.67,6.673,6.657,-0.0022,-0.22
29/10/2019,6.643,6.651,6.667,6.641,-0.0032,-0.32
30/10/2019,6.445,6.431,6.446,6.415,-0.0298,-2.98
31/10/2019,6.471,6.457,6.473,6.449,0.004,0.4
01/11/2019,6.514,6.482,6.528,6.482,0.0066,0.66
04/11/2019,6.486,6.521,6.521,6.484,-0.0043,-0.43
05/11/2019,6.502,6.473,6.506,6.473,0.0025,0.25
06/11/2019,6.554,6.539,6.554,6.524,0.008,0.8
07/11/2019,6.561,6.544,6.574,6.544,0.0011,0.11
08/11/2019,6.528,6.554,6.554,6.526,-0.005,-0.5
11/11/2019,6.515,6.528,6.528,6.505,-0.002,-0.2
13/11/2019,6.519,6.526,6.526,6.507,0.0006,0.06
14/11/2019,6.477,6.526,6.53,6.476,-0.0064,-0.64
15/11/2019,6.473,6.476,6.481,6.466,-0.0006,-0.06
18/11/2019,6.458,6.464,6.473,6.454,-0.0023,-0.23
19/11/2019,6.505,6.463,6.506,6.449,0.0073,0.73
20/11/2019,6.495,6.513,6.524,6.489,-0.0015,-0.15
21/11/2019,6.468,6.506,6.506,6.461,-0.0042,-0.42
22/11/2019,6.478,6.47,6.489,6.463,0.0015,0.15
25/11/2019,6.467,6.482,6.494,6.467,-0.0017,-0.17
26/11/2019,6.453,6.464,6.464,6.442,-0.0022,-0.22
27/11/2019,6.46,6.455,6.474,6.449,0.0011,0.11
28/11/2019,6.484,6.463,6.494,6.452,0.0037,0.37
29/11/2019,6.462,6.485,6.495,6.462,-0.0034,-0.34
02/12/2019,6.462,6.45,6.468,6.448,0,0
03/12/2019,6.608,6.464,6.614,6.454,0.0226,2.26
04/12/2019,6.661,6.611,6.668,6.602,0.008,0.8
05/12/2019,6.659,6.689,6.69,6.658,-0.0003,-0.03
06/12/2019,6.703,6.665,6.723,6.643,0.0066,0.66
09/12/2019,6.76,6.71,6.76,6.687,0.0085,0.85
10/12/2019,6.77,6.753,6.791,6.741,0.0015,0.15
11/12/2019,6.782,6.822,6.837,6.764,0.0018,0.18
12/12/2019,6.794,6.767,6.798,6.759,0.0018,0.18
13/12/2019,6.744,6.801,6.801,6.744,-0.0074,-0.74
16/12/2019,6.705,6.742,6.759,6.693,-0.0058,-0.58
17/12/2019,6.746,6.731,6.748,6.704,0.0061,0.61
18/12/2019,6.598,6.621,6.652,6.555,-0.0219,-2.19
19/12/2019,6.562,6.609,6.609,6.552,-0.0055,-0.55
20/12/2019,6.571,6.557,6.593,6.554,0.0014,0.14
23/12/2019,6.576,6.593,6.595,6.572,0.0008,0.08
24/12/2019,6.5,6.509,6.516,6.5,-0.0116,-1.16
26/12/2019,6.544,6.501,6.547,6.501,0.0068,0.68
27/12/2019,6.554,6.543,6.559,6.532,0.0015,0.15
30/12/2019,6.501,6.548,6.548,6.501,-0.0081,-0.81
31/12/2019,6.502,6.498,6.512,6.489,0.0002,0.02
01/01/2020,6.51,6.494,6.52,6.485,0.0012,0.12
02/01/2020,6.565,6.534,6.567,6.531,0.0084,0.84
03/01/2020,6.55,6.547,6.563,6.528,-0.0023,-0.23
06/01/2020,6.557,6.578,6.578,6.544,0.0011,0.11
07/01/2020,6.524,6.526,6.554,6.52,-0.005,-0.5
08/01/2020,6.585,6.583,6.595,6.576,0.0094,0.94
09/01/2020,6.592,6.588,6.621,6.581,0.0011,0.11
10/01/2020,6.662,6.692,6.692,6.648,0.0106,1.06
13/01/2020,6.623,6.66,6.665,6.623,-0.0059,-0.59
14/01/2020,6.598,6.612,6.643,6.598,-0.0038,-0.38
15/01/2020,6.622,6.601,6.626,6.601,0.0036,0.36
16/01/2020,6.639,6.639,6.647,6.625,0.0026,0.26
17/01/2020,6.633,6.635,6.644,6.618,-0.0009,-0.09
20/01/2020,6.635,6.629,6.643,6.627,0.0003,0.03
21/01/2020,6.596,6.623,6.632,6.594,-0.0059,-0.59
22/01/2020,6.578,6.599,6.602,6.569,-0.0027,-0.27
23/01/2020,6.551,6.549,6.572,6.547,-0.0041,-0.41
24/01/2020,6.575,6.562,6.581,6.549,0.0037,0.37
27/01/2020,6.568,6.59,6.594,6.563,-0.0011,-0.11
28/01/2020,6.558,6.553,6.565,6.553,-0.0015,-0.15
29/01/2020,6.599,6.577,6.6,6.575,0.0063,0.63
30/01/2020,6.503,6.509,6.52,6.497,-0.0145,-1.45
31/01/2020,6.504,6.494,6.51,6.488,0.0002,0.02
01/02/2020,6.505,6.512,6.519,6.497,0.0002,0.02
03/02/2020,6.446,6.513,6.513,6.446,-0.0091,-0.91
04/02/2020,6.439,6.433,6.443,6.409,-0.0011,-0.11
05/02/2020,6.44,6.432,6.446,6.421,0.0002,0.02
06/02/2020,6.464,6.447,6.469,6.433,0.0037,0.37
07/02/2020,6.473,6.478,6.484,6.471,0.0014,0.14
10/02/2020,6.423,6.488,6.488,6.423,-0.0077,-0.77
11/02/2020,6.369,6.43,6.431,6.367,-0.0084,-0.84
12/02/2020,6.387,6.346,6.391,6.346,0.0028,0.28
13/02/2020,6.384,6.385,6.408,6.379,-0.0005,-0.05
14/02/2020,6.422,6.392,6.423,6.38,0.006,0.6
17/02/2020,6.367,6.384,6.387,6.339,-0.0086,-0.86
18/02/2020,6.367,6.372,6.388,6.35,0,0
19/02/2020,6.346,6.339,6.348,6.326,-0.0033,-0.33
20/02/2020,6.378,6.331,6.389,6.33,0.005,0.5
24/02/2020,6.371,6.356,6.404,6.356,-0.0011,-0.11
25/02/2020,6.346,6.343,6.362,6.334,-0.0039,-0.39
26/02/2020,6.342,6.369,6.38,6.342,-0.0006,-0.06
27/02/2020,6.226,6.267,6.294,6.214,-0.0183,-1.83
28/02/2020,6.239,6.239,6.263,6.227,0.0021,0.21
02/03/2020,6.185,6.183,6.189,6.148,-0.0087,-0.87
03/03/2020,6.066,6.094,6.094,5.995,-0.0192,-1.92
04/03/2020,6.125,6.1,6.159,6.1,0.0097,0.97
05/03/2020,6.236,6.135,6.236,6.135,0.0181,1.81
06/03/2020,6.322,6.273,6.355,6.273,0.0138,1.38
09/03/2020,6.208,6.239,6.252,6.123,-0.018,-1.8
11/03/2020,6.710655172,6.712905172,6.736551724,6.68625431,-0.000697414,-0.069741379
12/03/2020,6.708235583,6.710133212,6.733881688,6.683733855,-0.000656885,-0.06568854
13/03/2020,6.705809874,6.70767689,6.731493247,6.681271501,-0.000659286,-0.065928577
16/03/2020,6.703041813,6.705248773,6.728835891,6.678910602,-0.000707817,-0.070781718
17/03/2020,6.700240269,6.702461052,6.726106735,6.676164527,-0.000713885,-0.071388535
18/03/2020,6.697224063,6.699566487,6.723154609,6.673156615,-0.000744549,-0.074454865
19/03/2020,6.694306926,6.696499964,6.720159586,6.670140049,-0.000732672,-0.073267171
20/03/2020,6.691407387,6.693627119,6.717319756,6.667183756,-0.00073195,-0.073195046
23/03/2020,6.688478108,6.690664305,6.714459066,6.664188859,-0.000737261,-0.07372606
24/03/2020,6.68537241,6.687680099,6.711461044,6.661103466,-0.000762852,-0.076285224
25/03/2020,6.682326602,6.684562341,6.708432859,6.657974601,-0.000756227,-0.07562266
26/03/2020,6.679276285,6.681521661,6.705434725,6.654879664,-0.000758193,-0.075819309
27/03/2020,6.676083511,6.678373048,6.702311599,6.651633456,-0.000779134,-0.077913358
