Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-04-30,CESC,EQ,543.2,542.0,550.0,535.2,548.2,547.9,543.65,670162,36433539260000.0,36884,374557,0.5589000000000001
2015-05-04,CESC,EQ,547.9,550.0,552.0,540.3,546.25,548.65,547.89,406098,22249674925000.0,21965,158128,0.38939999999999997
2015-05-05,CESC,EQ,548.65,552.0,552.0,534.7,541.9,541.55,540.77,959510,51887674730000.0,35755,445216,0.46399999999999997
2015-05-06,CESC,EQ,541.55,541.7,546.15,533.0,534.5,536.05,539.0,954965,51472849895000.0,32302,654014,0.6849
2015-05-07,CESC,EQ,536.05,540.0,542.1,517.45,535.05,533.5,533.69,893141,47666332920000.0,45284,511384,0.5726
2015-05-08,CESC,EQ,533.5,537.0,545.5,531.35,541.7,538.0,536.89,478188,25673597545000.0,21672,184179,0.38520000000000004
2015-05-11,CESC,EQ,538.0,540.1,548.0,538.8,545.95,544.45,544.63,281680,15341230869999.998,18259,134992,0.4792
2015-05-12,CESC,EQ,544.45,546.5,549.0,528.6,535.0,533.1,534.01,167139,8925371530000.0,6549,34507,0.2065
2015-05-13,CESC,EQ,533.1,535.0,544.0,526.8,535.9,534.85,535.67,249077,13342358075000.0,10685,52896,0.21239999999999998
2015-05-14,CESC,EQ,534.85,535.5,546.35,529.1,539.5,543.15,538.05,310174,16688913440000.0,12311,124818,0.40240000000000004
2015-05-15,CESC,EQ,543.15,539.1,574.4,538.85,573.95,569.8,561.96,1207645,67865255215000.0,24818,468007,0.3875
2015-05-18,CESC,EQ,569.8,579.0,591.8,576.0,578.0,579.7,583.73,765080,44659791410000.0,27510,266001,0.34770000000000006
2015-05-19,CESC,EQ,579.7,580.0,588.4,572.25,578.0,578.8,578.89,509939,29519695170000.0,17770,185043,0.3629
2015-05-20,CESC,EQ,578.8,580.0,591.75,577.0,590.0,589.75,585.61,435301,25491688695000.0,13244,199235,0.45770000000000005
2015-05-21,CESC,EQ,589.75,591.0,604.5,570.05,584.15,587.05,587.55,2754690,161851602725000.0,71005,400799,0.14550000000000002
2015-05-22,CESC,EQ,587.05,588.0,589.85,556.0,559.8,560.2,569.07,1111746,63266547670000.01,44406,529161,0.47600000000000003
2015-05-25,CESC,EQ,560.2,561.95,568.8,554.0,558.85,559.45,561.39,386426,21693476660000.0,9265,89335,0.23120000000000002
2015-05-26,CESC,EQ,559.45,564.0,564.0,557.9,560.3,561.6,561.3,227705,12781029600000.0,7057,71581,0.3144
2015-05-27,CESC,EQ,561.6,561.95,561.95,542.45,542.75,544.3,548.67,276167,15152553935000.0,9829,68684,0.2487
2015-05-28,CESC,EQ,544.3,547.0,552.9,537.0,547.9,547.6,545.07,655686,35739253000000.0,18782,228697,0.34880000000000005
2015-05-29,CESC,EQ,547.6,549.4,552.2,540.25,546.55,548.2,547.24,447074,24465621965000.0,13672,176365,0.3945
2015-06-01,CESC,EQ,548.2,549.0,552.65,538.6,550.0,546.65,546.77,292166,15974898855000.002,8319,78209,0.2677
2015-06-02,CESC,EQ,546.65,550.95,550.95,535.0,537.0,537.75,541.76,285649,15475216694999.998,12746,114179,0.3997
2015-06-03,CESC,EQ,537.75,535.0,535.95,505.0,526.95,524.8,518.79,443826,23025457000000.0,12561,138772,0.3127
2015-06-04,CESC,EQ,524.8,524.8,529.3,512.4,523.1,522.6,521.18,400958,20897172710000.0,17055,157014,0.39159999999999995
2015-06-05,CESC,EQ,522.6,516.0,531.7,515.3,517.0,519.1,524.14,416140,21811613590000.0,14650,173380,0.41659999999999997
2015-06-08,CESC,EQ,519.1,520.0,522.85,507.0,513.75,512.9,512.21,205098,10505318895000.0,8596,49940,0.24350000000000002
2015-06-09,CESC,EQ,512.9,513.9,526.0,510.25,526.0,523.65,520.86,483532,25185270075000.0,18005,189737,0.3924
2015-06-10,CESC,EQ,523.65,525.0,533.95,522.65,533.45,529.55,527.78,254617,13438189900000.0,14102,80254,0.3152
2015-06-11,CESC,EQ,529.55,536.0,538.15,513.75,518.35,516.95,525.37,276650,14534447855000.002,9413,87372,0.31579999999999997
2015-06-12,CESC,EQ,516.95,511.0,529.7,511.0,529.0,527.85,520.75,216363,11267022225000.0,6887,75758,0.35009999999999997
2015-06-15,CESC,EQ,527.85,528.0,535.8,525.05,526.5,528.2,529.98,254511,13488478015000.0,14003,100309,0.39409999999999995
2015-06-16,CESC,EQ,528.2,527.5,533.15,523.5,532.0,529.7,529.22,203983,10795282125000.0,12423,62660,0.3072
2015-06-17,CESC,EQ,529.7,531.8,537.9,528.5,533.5,533.4,533.67,233965,12485985535000.0,14141,93179,0.3983
2015-06-18,CESC,EQ,533.4,537.5,550.0,534.85,548.2,548.8,543.74,297577,16180517594999.998,9246,99526,0.3345
2015-06-19,CESC,EQ,548.8,555.0,561.95,542.65,549.0,549.6,551.17,329907,18183430240000.0,9750,113161,0.34299999999999997
2015-06-22,CESC,EQ,549.6,550.3,557.8,548.1,554.55,555.2,554.36,161819,8970526610000.0,5216,51480,0.3181
2015-06-23,CESC,EQ,555.2,555.55,560.6,545.2,553.5,552.65,552.13,279938,15456103944999.998,10851,75838,0.27090000000000003
2015-06-24,CESC,EQ,552.65,554.0,560.0,550.2,552.0,553.6,556.12,312688,17389147640000.0,9394,105022,0.33590000000000003
2015-06-25,CESC,EQ,553.6,550.5,569.4,543.5,567.6,565.85,559.11,325605,18204831785000.0,9822,146624,0.45030000000000003
2015-06-26,CESC,EQ,565.85,566.55,572.4,552.05,555.8,554.25,558.74,267923,14970009430000.002,7817,65924,0.2461
2015-06-29,CESC,EQ,554.25,545.0,556.7,531.5,555.0,554.35,545.36,227254,12393600360000.0,9385,56449,0.2484
2015-06-30,CESC,EQ,554.35,552.8,562.8,551.6,556.15,558.75,557.69,234066,13053627885000.0,8023,44511,0.1902
2015-07-01,CESC,EQ,558.75,559.0,570.0,556.45,561.15,562.55,564.09,193327,10905427595000.0,8972,41373,0.214
2015-07-02,CESC,EQ,562.55,563.0,564.6,555.0,557.0,556.9,558.26,187760,10481824130000.0,6173,59759,0.31829999999999997
2015-07-03,CESC,EQ,556.9,555.0,562.2,550.5,551.0,551.75,555.89,121214,6738153195000.0,6337,38527,0.3178
2015-07-06,CESC,EQ,551.75,542.0,568.5,536.0,567.0,566.2,554.04,235379,13041015240000.0,8944,34497,0.1466
2015-07-07,CESC,EQ,566.2,568.0,579.0,562.8,575.5,576.1,572.44,322980,18488704765000.0,8973,110585,0.34240000000000004
2015-07-08,CESC,EQ,576.1,570.8,579.85,561.75,568.0,566.85,570.54,304105,17350474800000.0,13209,82878,0.2725
2015-07-09,CESC,EQ,566.85,564.5,577.0,564.5,565.6,567.2,570.64,121515,6934156255000.0,6511,33466,0.2754
2015-07-10,CESC,EQ,567.2,575.0,575.0,556.0,560.0,560.25,563.68,100038,5638952090000.0,3702,15717,0.15710000000000002
2015-07-13,CESC,EQ,560.25,564.85,564.85,551.3,558.0,556.75,555.33,276703,15366013769999.998,7736,171741,0.6207
2015-07-14,CESC,EQ,556.75,555.0,573.9,551.5,569.9,570.6,563.06,302547,17035122319999.998,9831,83444,0.2758
2015-07-15,CESC,EQ,570.6,570.0,574.45,564.0,567.2,567.75,569.12,131726,7496766850000.0,5198,28482,0.2162
2015-07-16,CESC,EQ,567.75,567.75,583.45,566.3,572.2,573.05,576.59,308087,17764029345000.0,9589,73113,0.2373
2015-07-17,CESC,EQ,573.05,577.0,598.75,571.5,592.6,592.4,586.21,380123,22283110685000.0,10856,122339,0.32180000000000003
2015-07-20,CESC,EQ,592.4,605.0,624.3,605.0,619.0,617.85,618.01,821824,50789837390000.0,20024,253390,0.30829999999999996
2015-07-21,CESC,EQ,617.85,614.45,614.45,586.5,594.0,590.4,602.75,331341,19971597245000.0,11929,132778,0.4007
2015-07-22,CESC,EQ,590.4,583.5,593.0,576.0,587.0,585.25,586.56,279774,16410449960000.0,8758,129335,0.4623
2015-07-23,CESC,EQ,585.25,586.0,587.45,570.0,571.45,571.85,576.24,342652,19744916390000.0,13538,133720,0.39030000000000004
2015-07-24,CESC,EQ,571.85,568.0,578.6,566.0,570.0,569.55,572.85,262458,15034986655000.002,7050,113103,0.43090000000000006
2015-07-27,CESC,EQ,569.55,570.0,570.0,560.35,564.7,564.1,563.42,223725,12605220720000.0,7154,119339,0.5334000000000001
2015-07-28,CESC,EQ,564.1,563.2,572.6,562.5,565.0,564.45,566.83,208415,11813590125000.0,6743,54277,0.2604
2015-07-29,CESC,EQ,564.45,569.7,578.0,564.15,569.0,570.4,570.66,230319,13143492235000.0,10332,79887,0.3469
2015-07-30,CESC,EQ,570.4,575.0,584.25,569.35,571.05,571.05,576.01,386777,22278923365000.0,13327,212990,0.5507
2015-07-31,CESC,EQ,571.05,576.7,584.0,560.15,564.05,565.25,572.95,932791,53444463305000.0,24071,198811,0.21309999999999998
2015-08-03,CESC,EQ,565.25,567.25,578.0,560.4,563.2,563.9,567.16,266592,15119916605000.002,9140,99913,0.37479999999999997
2015-08-04,CESC,EQ,563.9,570.0,579.9,565.0,575.75,574.6,571.45,313142,17894508310000.0,10863,90226,0.28809999999999997
2015-08-05,CESC,EQ,574.6,579.95,597.75,568.2,595.0,594.65,585.73,599190,35096496889999.996,20501,170137,0.2839
2015-08-06,CESC,EQ,594.65,599.3,603.0,580.0,583.1,583.5,590.96,479233,28320842385000.004,13424,137471,0.28690000000000004
2015-08-07,CESC,EQ,583.5,587.25,601.45,585.0,590.25,588.7,595.04,484479,28828390880000.0,17972,226261,0.467
2015-08-10,CESC,EQ,588.7,589.75,604.95,586.35,590.5,592.05,598.03,546383,32675394330000.0,16697,211043,0.38630000000000003
2015-08-11,CESC,EQ,592.05,593.0,609.95,582.4,590.9,589.0,597.29,667539,39871279335000.0,23602,218617,0.3275
2015-08-12,CESC,EQ,589.0,587.0,597.9,579.0,580.0,581.95,586.66,418564,24555283620000.0,15935,193241,0.4617
2015-08-13,CESC,EQ,581.95,583.1,594.0,583.1,591.5,587.95,588.84,299278,17622621555000.0,11787,85293,0.28500000000000003
2015-08-14,CESC,EQ,587.95,591.0,599.8,586.1,593.55,592.95,593.84,516921,30696615575000.0,16875,130578,0.25260000000000005
2015-08-17,CESC,EQ,592.95,595.0,597.0,586.9,588.4,589.1,591.56,171128,10123236210000.0,6680,20883,0.122
2015-08-18,CESC,EQ,589.1,587.55,590.8,565.6,568.0,568.45,578.18,561031,32437678685000.004,18517,126653,0.2258
2015-08-19,CESC,EQ,568.45,567.0,575.0,562.0,566.5,565.85,567.86,418788,23781316080000.0,13743,73319,0.1751
2015-08-20,CESC,EQ,565.85,566.0,572.65,545.1,545.95,547.95,553.92,272307,15083645675000.0,9003,67304,0.2472
2015-08-21,CESC,EQ,547.95,543.0,558.9,528.0,553.6,555.55,549.66,319782,17577205640000.0,9333,104354,0.32630000000000003
2015-08-24,CESC,EQ,555.55,539.95,539.95,482.2,501.25,493.45,510.39,587668,29993965520000.0,19896,306811,0.5221
2015-08-25,CESC,EQ,493.45,518.0,526.8,488.4,524.0,521.85,511.15,727445,37183100125000.0,20733,344073,0.473
2015-08-26,CESC,EQ,521.85,519.0,544.9,506.25,535.1,537.45,534.49,323821,17307932535000.0,12230,115257,0.35590000000000005
2015-08-27,CESC,EQ,537.45,542.7,549.0,530.0,531.2,533.25,537.68,543449,29220269445000.0,13481,300039,0.5521
2015-08-28,CESC,EQ,533.25,540.0,545.0,520.0,525.0,523.3,529.68,398458,21105597580000.0,11151,163230,0.4097
2015-08-31,CESC,EQ,523.3,528.65,531.9,518.05,519.1,523.95,525.25,311328,16352362185000.0,7217,157154,0.5048
