Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-05-28,CADILAHC,EQ,255.0,256.25,263.95,250.7,261.95,258.25,257.6,24803528,638945768995000.0,144856,18400538,0.7419
2019-05-29,CADILAHC,EQ,258.25,264.0,270.7,257.55,263.1,263.75,264.38,10126701,267726964569999.97,105878,2816627,0.2781
2019-05-30,CADILAHC,EQ,263.75,264.85,265.35,253.6,257.0,256.85,257.83,4298962,110840035690000.02,37111,1346081,0.3131
2019-05-31,CADILAHC,EQ,256.85,256.85,256.85,244.5,247.5,248.0,248.77,5127827,127567448445000.0,51817,2431991,0.4743
2019-06-03,CADILAHC,EQ,248.0,249.0,254.7,245.45,251.75,252.85,251.59,2657220,66853810504999.99,32306,1030273,0.38770000000000004
2019-06-04,CADILAHC,EQ,252.85,253.0,260.25,250.9,258.3,257.3,255.54,2303202,58857067054999.99,34181,600187,0.2606
2019-06-06,CADILAHC,EQ,257.3,256.5,258.9,245.0,245.75,245.7,249.11,2941237,73269357115000.0,31434,1511980,0.5141
2019-06-07,CADILAHC,EQ,245.7,244.5,245.5,241.0,242.4,242.7,243.42,4955644,120629891000000.0,24611,3238374,0.6535
2019-06-10,CADILAHC,EQ,242.7,244.9,250.75,241.1,248.1,247.6,245.98,3582549,88124897560000.0,26854,2031847,0.5672
2019-06-11,CADILAHC,EQ,247.6,247.2,252.7,241.5,252.5,250.8,247.21,3836151,94833618215000.0,36483,1995049,0.5201
2019-06-12,CADILAHC,EQ,250.8,251.0,253.85,245.0,245.75,246.2,248.28,2014255,50009629375000.0,19491,610152,0.3029
2019-06-13,CADILAHC,EQ,246.2,246.2,248.15,244.15,246.3,245.8,245.83,1509325,37103950575000.0,12373,719575,0.4768
2019-06-14,CADILAHC,EQ,245.8,246.85,248.65,241.5,245.0,245.6,244.71,2055435,50298517670000.0,20842,778104,0.3786
2019-06-17,CADILAHC,EQ,245.6,246.5,248.85,242.0,242.5,242.9,245.04,1508702,36969078065000.0,35398,384927,0.24780000000000002
2019-06-18,CADILAHC,EQ,242.9,242.5,244.0,233.0,233.0,233.95,237.13,2792448,66217574610000.0,52877,816202,0.282
