Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-06-17,CESC,EQ,762.05,762.05,765.0,751.8,759.25,761.05,757.77,153530,11634074645000.0,9643,52509,0.3393
2019-06-18,CESC,EQ,761.05,759.5,768.7,751.95,758.8,757.25,761.02,206358,15704295640000.0,12450,92631,0.4464
2019-06-19,CESC,EQ,757.25,757.25,775.0,751.55,755.0,755.15,765.01,921794,70518045810000.0,49689,406283,0.44079999999999997
2019-06-20,CESC,EQ,755.15,757.0,770.1,755.05,760.25,761.85,763.82,547899,41849836765000.0,28516,342891,0.6258
2019-06-21,CESC,EQ,761.85,756.05,769.3,756.05,759.85,761.45,762.1,498756,38010227345000.0,13899,359225,0.7202
2019-06-24,CESC,EQ,761.45,759.9,760.95,754.6,760.0,758.05,758.0,184730,14002474635000.0,7742,78588,0.4254
2019-06-25,CESC,EQ,758.05,753.0,790.6,753.0,788.0,787.9,775.6,934058,72445400775000.0,25205,295848,0.31670000000000004
2019-06-26,CESC,EQ,787.9,792.4,797.25,778.45,783.1,784.35,787.09,1153751,90810573555000.0,40611,406290,0.3521
2019-06-27,CESC,EQ,784.35,785.45,786.6,776.8,782.05,782.35,783.0,546074,42757511095000.0,14510,180566,0.3307
2019-06-28,CESC,EQ,782.35,782.35,790.95,781.3,784.65,784.3,787.51,268332,21131451950000.0,7922,125250,0.4668
2019-07-01,CESC,EQ,784.3,790.0,798.35,779.0,785.05,784.85,789.7,350441,27674338539999.996,9956,121323,0.3462
2019-07-02,CESC,EQ,784.85,792.0,812.6,780.65,788.1,788.3,796.41,1158575,92270620115000.0,35672,229635,0.19820000000000002
2019-07-03,CESC,EQ,788.3,790.0,793.45,783.5,791.5,791.35,788.51,272845,21513990250000.0,13449,131593,0.4823
2019-07-04,CESC,EQ,791.35,793.0,794.4,778.35,780.0,780.3,783.1,164936,12916099410000.0,11164,49410,0.29960000000000003
2019-07-05,CESC,EQ,780.3,784.35,785.0,764.1,769.95,768.0,776.6,270817,21031537800000.0,12760,111010,0.40990000000000004
